Seite,Klicks,Impressionen,CTR,Position
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_oeffentliche_finanzen/gemeindesteuern/_jcr_content/contentPar/downloadlist_1/downloaditems/668_1439198560917.spooler.download.1533195891566.pdf/Steuerkraft_Mitteilungsliste.pdf,87,1115,7.8%,8.58
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2017_05_hedonisches_Bodenpreismodell.pdf,87,1092,7.97%,11.98
https://statistik.zh.ch/content/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2010_09_wer_waehlt_wen.pdf,86,1525,5.64%,10.53
https://statistik.zh.ch/internet/justiz_inneres/statistik/fr/home.html,85,3734,2.28%,12.94
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/jahrbuch/_jcr_content/contentPar/downloadlist/downloaditems/statistisches_jahrbu_5.spooler.download.1460359256760.pdf/jb_16_total.pdf,85,3635,2.34%,13.13
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2010_12_zuercher_autoflotte.pdf.spooler.download.1326986461835.pdf/si_2010_12_zuercher_autoflotte.pdf,85,2930,2.9%,12.78
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2008_10_groessere_wohnungen.pdf.spooler.download.1326986371953.pdf/si_2008_10_groessere_wohnungen.pdf,84,2136,3.93%,13.63
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2005_08_bildungsvergleich.pdf.spooler.download.1326986240492.pdf/si_2005_08_bildungsvergleich.pdf,84,893,9.41%,8.79
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2002_21_bodenpreise.pdf.spooler.download.1392889608516.pdf/si_2002_21_bodenpreise.pdf,84,732,11.48%,9.14
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2009_14_heiratsalter.pdf.spooler.download.1326986424431.pdf/si_2009_14_heiratsalter.pdf,83,3088,2.69%,13.85
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/jahrbuch/_jcr_content/contentPar/downloadlist/downloaditems/statistisches_jahrbu_0.spooler.download.1305100921940.pdf/jb09_total.pdf,80,2604,3.07%,13.02
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/dienstleistungen/fachstelle_sozialhilfestatistik.html,80,1757,4.55%,8.32
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet.html,80,1650,4.85%,6.24
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2002_13_staatsschulden.pdf.spooler.download.1392889312993.pdf/si_2002_13_staatsschulden.pdf,80,1605,4.98%,10.72
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2017_08_mobilitaet_mzmv2015.pdf.spooler.download.1510137094421.pdf/si_2017_08_mobilitaet_mzmv2015.pdf,80,1357,5.9%,11.78
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2008_12_bodenpreise.pdf.spooler.download.1326986372853.pdf/si_2008_12_bodenpreise.pdf,80,1084,7.38%,32.56
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2003_22_berufsbildung.pdf.spooler.download.1326986150552.pdf/si_2003_22_berufsbildung.pdf,80,918,8.71%,9.64
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/ueber_uns/organisation/mitarbeitende/wuermli.html,80,415,19.28%,9.61
https://statistik.zh.ch/content/dam/justiz_innern/statistik/Publikationen/Spezialpublikationen/Stadtverband_2009.pdf,79,2932,2.69%,9.5
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2010_01_strukturwandel_landwirtschaft.pdf.spooler.download.1510302498498.pdf/si_2010_01_strukturwandel_landwirtschaft.pdf,79,1350,5.85%,10.64
https://statistik.zh.ch/content/dam/justiz_innern/statistik/Publikationen/Spezialpublikationen/prognosen_quartiere_stadt_zuerich_2007.pdf,78,11153,0.7%,9.21
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2017/zhiz17_geburtenboom.html,78,1789,4.36%,13.23
