Bezeichnung,Eindeutige Seitenansichten,Seitenansichten,Von Besuchern verbrachte Gesamtzeit (in Sekunden),In den Suchergebnissen angeklickt,nb_hits_with_time_generation,min_time_generation,max_time_generation,Eingänge,Aktionen nach Eingang hier,Von Besuchern verbrachte Gesamtzeit (in Sekunden) nach Eingang hier,Absprünge,Ausstiege,Eindeutige Besucher (Tagessumme),Eindeutige Einstiege (Tagessumme),Eindeutige Ausstiege (Tagessumme),Durchschnittszeit pro Seite,Absprungsrate,Ausstiegsrate,Durchschnittliche Generierungszeit,Metadaten: url,Metadaten: segment
/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810071t.html,1070,2612,102652,,1968,0.001,3.658,402,1185,33190,242,636,1017,377,593,39,60%,59%,0.061,https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810071t.html,pageUrl==https%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Faktuell%2Fmedienmitteilungen%2F2018_10%2F1810071t.html
/internet/sicherheitsdirektion/kapo/de/ueber_uns.html,1070,1549,67619,7,1325,0.001,8.019,99,509,15027,46,281,1041,94,269,44,46%,26%,0.075,http://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns.html,pageUrl==http%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Fueber_uns.html
/internet/sicherheitsdirektion/kapo/de/aktuell/vermisst.html,1059,1619,70188,7,1368,0.001,4.718,432,1335,49486,196,431,1012,400,397,43,45%,41%,0.117,http://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/vermisst.html,pageUrl==http%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Faktuell%2Fvermisst.html
/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810041r.html,1053,1314,42076,1,1144,0.001,4.737,387,664,15904,312,590,1003,373,562,32,81%,56%,0.117,https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810041r.html,pageUrl==https%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Faktuell%2Fmedienmitteilungen%2F2018_10%2F1810041r.html
/internet/sicherheitsdirektion/kapo/de/jobs/sz_gk.html,1038,1502,49261,3,1286,0.001,3.923,291,1414,56454,85,234,998,276,220,33,29%,23%,0.102,http://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/sz_gk.html,pageUrl==http%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Fjobs%2Fsz_gk.html
/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810072t.html,1028,1174,43568,,1116,0.001,8.513,559,723,22878,488,684,981,530,652,37,87%,67%,0.117,https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810072t.html,pageUrl==https%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Faktuell%2Fmedienmitteilungen%2F2018_10%2F1810072t.html
/internet/sicherheitsdirektion/kapo/de/epolice.html,1026,1237,77536,24,1131,0.001,180.534,532,1330,55614,177,574,1003,522,562,63,33%,56%,0.286,http://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/epolice.html,pageUrl==http%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Fepolice.html
/internet/sicherheitsdirektion/kapo/de/jobs/sz_pga.html,1008,1485,63164,1,1291,0.001,75.232,388,1454,69439,175,342,948,350,301,43,45%,34%,0.167,http://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/sz_pga.html,pageUrl==http%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Fjobs%2Fsz_pga.html
/internet/sicherheitsdirektion/kapo/de/jobs/sbf/info.html,983,1402,125918,,1214,0.001,5.453,235,965,76696,110,408,906,206,364,90,47%,42%,0.127,http://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/sbf/info.html,pageUrl==http%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Fjobs%2Fsbf%2Finfo.html
/internet/sicherheitsdirektion/kapo/de/jobs/zivil.html,955,1236,69656,3,1096,0.001,7.23,194,590,20767,86,382,940,192,377,56,44%,40%,0.107,http://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/zivil.html,pageUrl==http%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Fjobs%2Fzivil.html
