Bezeichnung,Eindeutige Seitenansichten,Seitenansichten,Von Besuchern verbrachte Gesamtzeit (in Sekunden),In den Suchergebnissen angeklickt,nb_hits_with_time_generation,min_time_generation,max_time_generation,Eingänge,Aktionen nach Eingang hier,Von Besuchern verbrachte Gesamtzeit (in Sekunden) nach Eingang hier,Absprünge,Ausstiege,Eindeutige Besucher (Tagessumme),Eindeutige Einstiege (Tagessumme),Eindeutige Ausstiege (Tagessumme),Durchschnittszeit pro Seite,Absprungsrate,Ausstiegsrate,Durchschnittliche Generierungszeit
Bezirk Dietikon: Kontrolle wegen illegalen Glücksspiels,3,3,32,,3,0.006,0.528,,,,,1,3,,1,11,0%,33%,0.227
Bezirk Dietikon: Technische Verkehrskontrolle,3,3,67,,3,0.583,1.684,,,,,,3,,,22,0%,0%,0.995
Bülach: Grosse Indoor-Hanfplantage ausgehoben,3,3,79,,3,0.001,1.485,3,5,80,2,2,3,3,2,26,67%,67%,0.741
Bülach: Verkehrsunfall fordert Todesopfer - Zeugenaufruf,3,3,0,,3,0.043,1.891,3,3,0,3,3,3,3,3,0,100%,100%,0.879
Dachsen: Brand in Riegelhaus fordert hohen Sachschaden,3,4,102,,4,0.002,1.211,3,6,104,1,1,3,3,1,26,33%,33%,0.72
Dielsdorf/Uster: Raubüberfall auf Tankstelle geklärt,3,4,143,,4,0.003,0.056,2,3,117,1,2,3,2,2,36,50%,67%,0.038
Dielsdorf: Badeunfall - Zeugenaufruf,3,3,10,,2,0.035,0.833,2,2,0,2,2,3,2,2,3,100%,67%,0.434
Dielsdorf: Verletzte Frau auf Trottoir aufgefunden - Zeugenaufruf,3,3,84,,3,0.004,0.963,,,,,,3,,,28,0%,0%,0.355
Dübendorf: Brand in Baucontainer,3,3,0,,3,0.001,0.177,3,3,0,3,3,3,3,3,0,100%,100%,0.06
Dübendorf: Motorradfahrer im Kreisverkehr wegen Auto gestürzt - Zeugenaufruf,3,3,165,,3,0.524,0.684,,,,,,3,,,55,0%,0%,0.599
Dürnten: Selbstunfall fordert Todesopfer – Zeugenaufruf,3,10,144,,6,0.001,0.938,2,11,46,1,3,3,2,3,14,50%,100%,0.313
Egg bei Zürich: Verkehrsunfall zwischen Forchbahn und Personenwagen,3,3,0,,3,0.002,1.359,2,2,0,2,3,3,2,3,0,100%,100%,0.693
Erfolgreicher Start der gemeinsamen Polizeischule von Stadt und Kanton Zürich,3,3,0,,3,0.004,0.873,3,3,0,3,3,3,3,3,0,100%,100%,0.363
Fischenthal: Motorradkontrolle,3,4,1059,,4,0.03,1.366,2,3,1018,1,2,3,2,2,265,50%,67%,0.647
Geroldswil: Brand in Tiefgarage einer Überbauung,3,3,51,,3,0.117,0.583,1,1,0,1,2,3,1,2,17,100%,67%,0.419
Gutenswil: Zwei Schwerverletzte durch Verkehrsunfall - Zeugenaufruf,3,3,2,,3,0.238,1.316,3,6,15,2,2,3,3,2,1,67%,67%,0.68
Hirzel: Zwei Personen bei Verkehrsunfall verletzt - Zeugenaufruf,3,3,40,,3,0.618,1.212,1,1,0,1,1,3,1,1,13,100%,33%,0.824
Hombrechtikon: Fünf Verletzte bei Verkehrsunfall - Zeugenaufruf,3,3,28,,3,0.132,0.759,2,7,76,1,2,3,2,2,9,50%,67%,0.518
Höri: Kollision zwischen einem Motorrad und einem Personenwagen fordert zwei Verletzte - Zeugenaufruf,3,3,34,,3,0.055,0.636,,,,,,3,,,11,0%,0%,0.411
Hüntwangen: Raub auf Verkaufsgeschäft – Zeugenaufruf,3,3,30,,3,0.054,1.711,,,,,,3,,,10,0%,0%,0.859
Kanton Zürich: Achtung vor neuer Phishing-Methode,3,3,12,,3,0.003,1.017,2,2,0,2,2,3,2,2,4,100%,67%,0.525
Kanton Zürich: Polizeiliche Kriminalstatistik PKS 2016,3,3,0,,3,0.006,1.777,3,3,0,3,3,3,3,3,0,100%,100%,0.604
Kanton Zürich: Polizeiliche Kriminalstatistik PKS 2017,3,4,1378,,3,0.005,2.309,2,20,1682,1,1,3,2,1,345,50%,33%,0.776
Kanton Zürich: Verkehrspolizeiliche Schwerpunktaktion - Fahrzeugbeleuchtung und Verhalten vor Fussgängerstreifen,3,3,94,,3,0.15,0.98,3,8,108,1,1,3,3,1,31,33%,33%,0.622
Pfungen: Ein Verletzter bei Verkehrsunfall - Zeugenaufruf,3,3,118,,3,0.063,1.037,,,,,1,2,,1,39,0%,33%,0.388
Pfäffikon: Verkehrsunfall fordert Schwerverletzten,3,4,430,,3,0.001,0.009,1,1,0,1,2,3,1,2,108,100%,67%,0.005
Rüti/Winterthur: Indoor-Hanfplantage ausgehoben,3,4,210,,4,0.086,2.434,3,4,211,2,3,3,3,3,53,67%,100%,1.013
Schlieren: Geschwindigkeitskontrolle – Schnellfahrer gestoppt,3,4,117,1,4,0.009,0.709,,,,,,3,,,29,0%,0%,0.316
SG, GL, SZ, ZH, Horgen: Falschfahrer rast durch die halbe Schweiz - Zeugenaufruf,3,3,234,,3,0.001,1.175,1,1,0,1,1,3,1,1,78,100%,33%,0.394
Turbenthal: Verkehrsunfall fordert einen Toten - Zeugenaufruf,3,4,143,,4,0.014,1.132,3,5,322,2,3,3,3,3,36,67%,100%,0.428
Uetikon am See: Motorradfahrer bei Selbstunfall schwer verletzt,3,3,0,,3,0.085,1.702,3,3,0,3,3,3,3,3,0,100%,100%,1.004
Uitikon Waldegg: Telefonbetrüger verhaftet,3,3,320,,3,0.003,0.676,,,,,2,2,,2,107,0%,67%,0.231
Wallisellen: Baustellen-Grosskontrollen zeigen ein gutes Ergebnis,3,3,138,,3,0.003,0.814,,,,,,3,,,46,0%,0%,0.277
Wallisellen: Vermisstmeldung - Revoziert,3,3,36,1,3,0.057,1.842,2,11,196,1,1,3,2,1,12,50%,33%,0.878
Winterthur/A1: Verkehrsunfall zwischen einem Lastwagen und einem Lieferwagen fordert einen Verletzten,3,4,896,,3,0.068,0.709,,,,,1,3,,1,224,0%,33%,0.449
Winterthur: Mutmasslicher Einbrecher in flagranti verhaftet,3,3,7,,3,0.005,0.919,1,1,0,1,2,3,1,2,2,100%,67%,0.589
Winterthur A1: Auffahrkollision zwischen zwei Lastwagen und einem Reisecar fordert viele Verletzte - Zeugenaufruf,3,7,49,,4,0.001,0.915,1,1,0,1,1,3,1,1,7,100%,33%,0.235
Zürcher Unterland: Zahlreiche Einsätze nach heftigem Gewitter,3,3,22,,3,0.061,0.875,2,2,0,2,2,3,2,2,7,100%,67%,0.542
Zürich 1: Zwei Männer bei Auseinandersetzung verletzt - Zeugenaufruf,3,3,31,,3,0.108,0.98,1,15,119,0,1,3,1,1,10,0%,33%,0.556
Zürich: Sechs mutmassliche Drogenhändler verhaftet und Drogen sichergestellt,3,4,55,,4,0.002,0.902,,,,,,3,,,14,0%,0%,0.408
2017,2,3,30,2,3,0.005,0.679,,,,,,2,,,10,0%,0%,0.452
A1/Seuzach: Carkontrollen auf Rastplätzen durchgeführt,2,2,22,,2,0.003,0.003,,,,,,2,,,11,0%,0%,0.003
A1: Carkontrolle zwischen Wallisellen und Winterthur,2,2,54,,2,0.002,0.003,,,,,,2,,,27,0%,0%,0.003
A1L Zürich: Grosser Sachschaden nach Verkehrsunfall,2,4,193,,3,0.035,0.679,2,6,195,0,2,2,2,2,48,0%,100%,0.429
A3/Altendorf SZ: Ein Toter und zwei Verletze bei Verkehrsunfall - Zeugenaufruf,2,2,0,,2,0.015,0.114,2,2,0,2,2,1,1,1,0,100%,100%,0.065
A3/Stallikon: Selbstunfall fordert Todesopfer,2,3,184,,3,0.007,0.692,2,5,185,1,2,1,1,1,61,50%,100%,0.412
A3/Wettswil: Schwerer Verkehrsunfall fordert mehrere Verletzte - Zeugenaufruf,2,2,869,,2,0.118,0.95,1,4,17,0,,2,1,,435,0%,0%,0.534
Adliswil: Indoor-Hanfanlage ausgehoben – Betreiber verhaftet,2,2,0,,2,2.03,2.337,2,2,0,2,2,2,2,2,0,100%,100%,2.184
Adliswil: Selbstunfall mit Mofa fordert Todesopfer,2,3,73,,3,0.004,0.743,,,,,,2,,,24,0%,0%,0.492
Aeugst am Albis: Hoher Sachschaden nach Wohnungsbrand,2,2,0,,2,0.882,1.631,2,2,0,2,2,2,2,2,0,100%,100%,1.257
Andelfingen A4: Selbstunfall fordert Verletzten,2,2,7,,2,0.7,1.866,1,1,0,1,1,2,1,1,4,100%,50%,1.283
Bassersdorf: Brand in Altliegenschaft - Zeugenaufruf,2,2,29,,2,0.562,1.483,,,,,1,2,,1,15,0%,50%,1.023
Bassersdorf: Verkehrsunfall fordert verletzten Radfahrer,2,4,405,,4,0.013,1.187,2,5,407,0,1,2,2,1,101,0%,50%,0.472
Bezirk Dietikon: Kontrolle von Glücksspiellokalen,2,2,65,,2,0.003,0.527,,,,,,2,,,33,0%,0%,0.265
Bezirke Dietikon und Affoltern a. A: Indoor-Hanfplantagen ausgehoben,2,3,48,,2,0.003,1.063,1,1,0,1,1,2,1,1,16,100%,50%,0.533
Bezirk Horgen und Zürich: Zwei Rentnerinnen wurden Opfer von Telefonbetrügern,2,3,350,,2,0.003,0.652,,,,,,2,,,117,0%,0%,0.328
Bezirk Winterthur: Regionale Polizeikontrolle,2,2,55,,2,0.528,1.567,,,,,,2,,,28,0%,0%,1.048
Birmensdorf: Umzug des Polizeipostens,2,2,207,,2,0.095,1.161,2,12,365,1,1,2,2,1,104,50%,50%,0.628
Brütten: Motorrad mit Auto kollidiert – Zeugenaufruf,2,2,0,,2,0.071,1.277,2,2,0,2,2,2,2,2,0,100%,100%,0.674
Bubikon: Tödlicher Arbeitsunfall,2,2,0,,2,0.174,1.705,2,2,0,2,2,2,2,2,0,100%,100%,0.94
Buchs: Schwerverletzter durch Verkehrsunfall,2,2,0,,1,0.002,0.002,1,1,0,1,2,2,1,2,0,100%,100%,0.002
Buchs: Wohnung ausgebrannt,2,2,111,,2,0.609,0.692,1,6,313,0,,2,1,,56,0%,0%,0.651
Bäretswil: Selbstunfall fordert schwer verletzten Motorradfahrer,2,2,31,,2,0.51,0.667,1,1,0,1,1,2,1,1,16,100%,50%,0.589
Dietikon: Brand eine Traktors mit Anhänger,2,2,0,,2,0.001,0.002,2,2,0,2,2,2,2,2,0,100%,100%,0.002
Dietikon: Verkehrsunfall zwischen Personenwagen und Fussgänger - Zeugenaufruf,2,2,8,,1,1.042,1.042,1,1,0,1,1,2,1,1,4,100%,50%,1.042
Dinhard: Ein Verletzter bei Verkehrsunfall - Zeugenaufruf,2,2,0,,2,0.613,0.643,2,2,0,2,2,2,2,2,0,100%,100%,0.628
Dinhard: Tödlicher Arbeitsunfall,2,3,131,,3,0.066,0.692,2,3,132,1,2,2,2,2,44,50%,100%,0.293
Dübendorf: Verkäufer von gefälschten Uhren verhaftet,2,3,19,,2,0.003,0.077,1,1,0,1,1,2,1,1,6,100%,50%,0.04
Effretikon/Zürich/Frauenfeld: Gesuchter Räuber verhaftet,2,2,71,,2,0.003,0.708,,,,,,2,,,36,0%,0%,0.356
Embrach: Zwei mutmassliche Drogenhändler verhaftet,2,2,2,,2,0.02,1.121,1,1,0,1,1,2,1,1,1,100%,50%,0.571
Fehraltorf: Schwerverletzter nach Brand in Auto,2,2,8,,2,0.591,1.32,,,,,1,2,,1,4,0%,50%,0.956
Fehraltorf: Unfall eines Kleinflugzeuges auf dem Flugplatz Speck,2,2,0,,2,0.039,1.247,2,2,0,2,2,2,2,2,0,100%,100%,0.643
Flughafen Zürich: Zigarettenschmuggel aufgedeckt,2,2,1156,,2,0.004,0.918,,,,,,2,,,578,0%,0%,0.461
Freienstein-Teufen: Tödlicher Badeunfall - Zeugenaufruf,2,2,15,,2,0.621,0.638,,,,,,2,,,8,0%,0%,0.63
Geschäftsbericht 2016 veröffentlicht,2,2,92,,2,0.01,1.018,,,,,,2,,,46,0%,0%,0.514
Glattbrugg: Kollision mit Motorrad - Zeugenaufruf,2,2,39,,0,,0,1,6,368,0,,2,1,,20,0%,0%,0
Glattfelden/Zürich: Mutmassliche Enkeltrickbetrüger verhaftet,2,3,20,,1,0.783,0.783,2,9,117,1,2,2,2,2,7,50%,100%,0.783
Glattfelden: Fahrradlenker bei Unfall verletzt - Zeugenaufruf,2,2,11,,2,0.626,1.219,1,1,0,1,1,2,1,1,6,100%,50%,0.923
Hinwil: Friedliches Openair „Rock the Ring“,2,2,30,,2,0.003,1.274,1,3,26,0,,2,1,,15,0%,0%,0.639
Hinwil: Geldautomat aufgebrochen - Zeugenaufruf,2,2,10,,2,0.029,1.606,,,,,,2,,,5,0%,0%,0.818
Hinwil: Selbstunfall fordert Schwerverletzten,2,2,463,,2,0.023,0.769,1,7,189,0,1,1,1,1,232,0%,50%,0.396
Horgen: Mit Arbeitsmaschine verunfallt,2,3,75,,2,0.003,0.135,1,1,0,1,1,2,1,1,25,100%,50%,0.069
Illnau-Effretikon: Mann bei Zwischenfall im Bahnhof verstorben,2,2,25,,2,0.644,0.853,,,,,,2,,,13,0%,0%,0.749
Kantonspolizei Zürich: Neuer Dienstchef Mediendienst,2,2,17,,2,0.01,1.485,1,14,299,0,1,2,1,1,9,0%,50%,0.748
Kanton Zürich: Anwendungsanpassung beim Besitz von Cannabis bei Erwachsenen,2,2,0,,2,0.161,0.723,2,2,0,2,2,2,2,2,0,100%,100%,0.442
Kanton Zürich: Bettler auf Friedhöfen und bei Autobahnen unterwegs,2,2,0,,2,0.939,1.267,2,2,0,2,2,2,2,2,0,100%,100%,1.103
Kanton Zürich: Fussgänger/Licht - Verkehrspolizeiliche Schwerpunktation,2,2,8,,2,0.003,0.625,1,1,0,1,1,2,1,1,4,100%,50%,0.314
Kanton Zürich: Sturmwarnung, Hinweise zur Gefahrenabwehr,2,4,32,,3,0.001,1.449,,,,,1,2,,1,8,0%,50%,0.484
Kloten: Zwei Personen bei Polizeieinsatz verhaftet,2,2,94,1,2,0.003,0.094,,,,,,2,,,47,0%,0%,0.049
Kontaktanfrage Brückenbauer,2,2,73,,2,0.005,0.785,,,,,,2,,,37,0%,0%,0.395
Kontaktanfrage Präventionsmobil,2,5,378,,3,0.003,0.552,,,,,1,2,,1,76,0%,50%,0.187
Massnahmen gegen E-Bike-Unfälle,2,2,9,,2,0.001,0.794,,,,,1,2,,1,5,0%,50%,0.398
Mönchaltdorf: Verletzter E-Bikefahrer aufgefunden - Zeugenaufruf,2,2,35,,2,0.543,1.261,,,,,,2,,,18,0%,0%,0.902
Online police stations,2,2,23,,2,0.859,2.185,,,,,1,2,,1,12,0%,50%,1.522
Opfikon: Brand eines Wohnwagens,2,2,393,,0,,0,,,,,,2,,,197,0%,0%,0
Opfikon: Grosser Sachschaden bei Verkehrsunfall,2,2,39,,0,,0,,,,,1,2,,1,20,0%,50%,0
Rafz: Arbeiter von Gerüst gestürzt und verletzt,2,2,257,,2,0.02,0.538,,,,,,2,,,129,0%,0%,0.279
Rheinau/Neuhausen: Autolenker fährt Velofahrer an und gibt Schuss auf Helfer ab - Zeugenaufruf,2,2,55,,2,0.003,0.024,,,,,,2,,,28,0%,0%,0.014
Schlieren: Verkehrsunfall fordert fünf Verletzte - Zeugenaufruf,2,2,45,,2,0.601,1.467,,,,,,2,,,23,0%,0%,1.034
Seuzach/A1: Carkontrolle auf dem Rastplatz Forrenberg,2,2,35,,2,0.002,0.539,,,,,,2,,,18,0%,0%,0.271
Stallikon: Schnellfahrer angehalten,2,2,43,,2,0.588,0.935,,,,,,2,,,22,0%,0%,0.762
Thalwil: Verletzter Velofahrer aufgefunden - Zeugenaufruf,2,2,27,,2,0.682,1.518,,,,,,2,,,14,0%,0%,1.1
Uitikon: Drei Verletzte bei Arbeitsunfall,2,2,21,,2,0.02,0.737,1,2,19,0,,2,1,,11,0%,0%,0.379
Unterengstringen: Zwei Raser festgenommen und Sportwagen sichergestellt,2,2,54,,2,0.691,0.734,,,,,1,2,,1,27,0%,50%,0.713
Urdorf: Mutmassliche Einbrecher verhaftet,2,2,554,,2,0.005,1.554,,,,,,2,,,277,0%,0%,0.78
Urdorf: Verhaftungen bei Kontrolle in Notunterkunft,2,2,127,,2,0.005,1.094,1,3,48,0,,2,1,,64,0%,0%,0.55
Uster: Gasleitung beschädigt,2,2,78,,1,0.003,0.003,,,,,,2,,,39,0%,0%,0.003
Vereidigung der Polizeischule 1/2011,2,7,1252,,2,0.005,0.005,,,,,1,2,,1,179,0%,50%,0.005
Volketswil: Frau bei Verkehrsunfall schwer verletzt,2,2,2,,2,0.102,1.133,,,,,1,2,,1,1,0%,50%,0.618
Volketswil: Velofahrer verunfallt und schwer verletzt,2,2,33,,2,0.552,1.289,,,,,,2,,,17,0%,0%,0.921
Winterthur: Brand in Tiefgarage,2,3,881,,3,0.009,0.827,1,4,866,0,,2,1,,294,0%,0%,0.291
Zürich 3: Mutmasslicher Räuber verhaftet,2,2,50,,2,0.003,0.525,,,,,,2,,,25,0%,0%,0.264
Zürich: Mann besteigt Baukran der Baustelle Hauptbahnhof,2,4,175,,4,0.024,0.96,,,,,1,2,,1,44,0%,50%,0.406
Zürich: Vater mit Kleinkind dringend gesucht - Fahndungsaufruf,2,2,48,,2,0.003,0.627,,,,,,2,,,24,0%,0%,0.315
A3/Richterswil: Kollision mit Mittelleitplanke – Zeugenaufruf,1,1,4,,1,0.822,0.822,,,,,,1,,,4,0%,0%,0.822
Eglisau/Rafz: Verdacht Tötungsdelikt – Täterfahndung mit Filmsequenzen,1,1,32,,1,0.623,0.623,,,,,,1,,,32,0%,0%,0.623
Eglisau/Rafz: Verdacht Tötungsdelikt – zwei Personen verhaftet,1,1,537,,1,0.624,0.624,,,,,,1,,,537,0%,0%,0.624
Embrach/Greifensee: Küchenbrände verursachen grossen Schaden,1,1,3,,1,0.005,0.005,,,,,,1,,,3,0%,0%,0.005
Embrach/Winterthur: Junges Einbrecherduo verhaftet,1,1,7,,1,0.006,0.006,,,,,,1,,,7,0%,0%,0.006
Winterthur/A1: Carkontrolle auf verschiedenen Rastplätzen,1,2,30,,2,0.002,0.003,,,,,,1,,,15,0%,0%,0.003
Zürich/A3: Kollision zwischen zwei Lastwagen und einem Lieferwagen,1,1,0,,1,0.014,0.014,1,1,0,1,1,1,1,1,0,100%,100%,0.014
Zürich/Schlieren: Vermisste May Soledad Koch aufgefunden,1,1,0,,1,0.016,0.016,,,,,1,1,,1,0,0%,100%,0.016
Zürich/Zollikerberg - Vermisstmeldung Rosmarie Willi - revoziert am 27.1.2014,1,1,108,,1,0.996,0.996,,,,,,1,,,108,0%,0%,0.996
